LEMMA	POS	SAGEDUS	TASE
iiveldama	V	2632	B1
ikka	D	1180088	A1
ikkagi	D	317784	A2
ilm	S	203892	A1
ilma	D	154401	A2
ilma	K	321291	A1
ilma jääma	V		B1
ilmaennustus	S	2238	B1
ilmakaar	S	4188	B1
ilmastik	S	7744	B1
ilmateade	S	5779	B1
ilme	S	23388	B1
ilmne	A	20052	B1
ilmnema	V	49012	B1
ilmselt	D	405308	B1
ilmuma	V	249733	B1
ilmutama	V	21799	B1
ilu	S	49242	A2
ilukirjandus	S	7831	B1
ilus	A	297473	A1
ilusalong	S	4083	B1
ilusti	D	56068	B1
ime	S	60454	B1
imeilus	A	12608	B1
imelik	A	71011	A2
imetlema	V	24400	B1
inetu	A	11917	B1
info	S	303176	A1
informatsioon	S	111540	A1
informeerima	V	23438	B1
infotehnoloog	S	443	B1
ingel	S	29258	A2
inglane	S	21581	B1
inglise	G	126788	A1
ingliskeelne	A	24938	A2
inimene	S	2905185	A1
inimlik	A	33375	B1
instituut	S	63384	A2
instruktsioon	S	2806	A2
internet	S	173502	A1
internetilehekülg	S	3118	A2
internetipank	S	7269	B1
internetiportaal	S	2394	B1
internetiühendus	S	10148	B1
intervjuu	S	74774	A2
intress	S	40355	B1
investeerima	V	60857	A2
isa	S	298016	A1
isadepäev	S	4163	B1
ise	D	207208	A2
ise	P	3531469	A1
iseenese	P	118760	B1
iseenesest	D	74010	B1
isegi	D	776133	B1
iseloom	S	58290	A2
iseloomulik	A	31746	B1
iseloomustama	V	58891	B1
iseseisev	A	58326	B1
iseseisvalt	D	27201	B1
iseseisvus	S	41054	B1
iseseisvuspäev	S	4186	B1
isik	S	405103	B1
isiklik	A	164553	A2
isiklikult	D	67179	B1
isiksus	S	30757	B1
isikukood	S	9026	B1
iste	S	27268	B1
istekoht	S	8412	B1
istuma	V	272953	A1
itaalia	G	13531	A2
itaallane	S	17551	B1
ja	J	31378728	A1
jaa	D	23373	A1
jaam	S	40253	A2
jaanipäev	S	18618	A2
jaanituli	S	4496	B1
jaanuar	S	264875	A1
jaapani	G	11418	A2
jaapanlane	S	13291	B1
jagama	V	325877	A2
jaguma	V	35801	B1
jagunema	V	32049	B1
jah	D	314580	A1
jahe	A	28423	A2
jahimees	S	21294	B1
jaht	S	30397	A2
jahu	S	26587	A1
jakk	S	6827	A2
jaksama	V	34313	B1
jala	D	12382	A2
jalakäija	S	26798	B1
jalalaba	S	2351	B1
jalaluu	S	1807	B1
jalanõu	S	15880	A2
jalats	S	10704	B1
jalg	S	255670	A1
jalgpall	S	57325	A1
jalgratas	S	40041	A1
jalgrattatee	S	3742	B1
jalgrattur	S	15538	A2
jalgsi	D	13005	A2
jalutama	V	75987	A2
jalutuskäik	S	27160	B1
jama	S	87123	B1
janu	S	8323	B1
jaoks	K	746977	A1
jaoskond	S	10578	B1
jaotama	V	34864	B1
jne	Y		A2
jogurt	S	17175	A1
jood	S	7552	B1
joodik	S	12036	B1
joogivesi	S	12646	A2
jook	S	70511	A2
jooks	S	59971	B1
jooksma	V	220527	A1
jooksul	K	600947	A1
jooma	V	136349	A1
joon	S	66808	A2
jooneline	A	298	B1
joonistama	V	43465	A2
joonlaud	S	2456	B1
jope	S	13672	A2
jt	Y		A2
ju	D	1043338	A1
juba	D	2094770	A1
jube	A	53592	B1
juhataja	S	258179	A2
juhatama	V	45547	A2
juhatus	S	267284	A2
juhe	S	39536	B1
juhend	S	36290	B1
juhendaja	S	41665	B1
juhiluba	S	15686	A2
juht	S	1039106	A2
juhtima	V	276753	A2
juhtimine	S	129954	B1
juhtkond	S	57911	B1
juhtuma	V	357882	A2
juhtunu	S	26986	B1
juhus	S	36586	B1
juhuslik	A	26292	B1
julge	A	24379	A2
julgelt	D	28867	B1
julgema	V	132982	A2
julgeolek	S	49336	B1
julgus	S	33138	B1
jumal	S	343698	A2
jumalateenistus	S	20905	B1
juriidiline	A	66402	A2
jurist	S	35504	A2
just	D	873424	A1
justkui	D	126189	B1
justkui	J		B1
jutt	S	418524	A1
juttu ajama	V		A2
jutukas	A	4728	B1
jutustama	V	47135	A2
juubel	S	20909	A2
juuksed	S		A1
juukselakk	S	991	B1
juuksevaht	S		B1
juuksur	S	13647	A2
juuksurisalong	S	1007	A2
juuli	S	240046	A1
juuni	S	264813	A1
juurde	D	207362	B1
juurde	K	431010	A1
juures	K	472465	A1
juurest	K	50914	A2
juurvili	S	12670	B1
juust	S	34402	A1
juut	S	61243	A2
jäine	A	6886	B1
jälg	S	60901	B1
jälgima	V	192089	B1
jälle	D	343852	A1
jänes	S	21148	A1
järel	D	11957	A1
järel	K	184540	A2
järeldus	S	73830	B1
järele	D	95367	A1
järele	K	84377	A2
järele aitama	V		B1
järele andma	V		B1
järele mõtlema	V		B1
järelevalve	S	56362	B1
järelikult	D	48443	B1
järelmaks	S	7654	B1
järgi	D	11313	A2
järgi	K	578859	A1
järgima	V	79296	B1
järgmine	A	699942	A1
järgnema	V	122798	B1
järjekord	S	75591	A2
järjekordne	A	62314	B1
järjest	D	147895	B1
järsk	A	28246	B1
järsku	D	40357	B1
järv	S	98993	A1
jätkama	V	247636	A2
