word	freq_rank	proficiency	pos
rase	1913	B1	adj,s
lubatud	1914		adj
hing	1917	A2	s
helistama	1919	A1	v
eales	1920	C1	adv
seetõttu	1921	B2	adv
jagu	1922	B2	s
õe	1923		interj
õppima	1924	A1	v
oot	1925		interj
pikka	1927		adv
suhe	1928	B1	s
kuulus	1930	A2	adj
la	1934		s
tuttav	1935	A2	adj,s
paks	1936	A1	adj,s
anne	1937	B2	s
endine	1938	B1	adj
kummaline	1939	B1	adj
päike	1942	A1	s
lennuk	1943	A1	s
siiapoole	1950	B2	adv,prep
käsk	1952	A1	s
lits	1957		s,adj
sitt	1958		s,adj
kõht	1964	A1	s
juhtum	1966	B2	s
piiri	1968		
nõu	1969	A1	s
raamatu	1971		prop
häda	1973	A2	s
mure	1979	A2	s
sõnum	1987	A2	s
luua	1990		
terekest	1991		interj
vägev	1993	B2	adj,s
voodi	1994	A1	s
nõbu	1996	B2	s
nuga	1998	A1	s
tapja	2002		s,adj
kaart	2004	A1	s
kuulama	2005	A1	v
üllatunud	2006	B1	adj
ohvitser	2008	B2	s
samamoodi	2010	B1	adv
minut	2011	A1	s
sõbrake	2016		s
sõitma	2018	A1	v
tuju	2020	B1	s
politseinik	2022	A2	s
vaevu	2023	B2	adv
kuninga	2029		prop
vastik	2030	B1	adj
täiega	2035		adv
komandör	2038		s
väikse	2042		
vanem	2044	A2	s
jõudma	2045	A2	v
al	2048		
it	2050		
ennem	2051	B2	adv
jalg	2054	A1	s
pomm	2055	B1	s
sõdur	2056	B1	s
lood	2057		s
ajalugu	2059	A2	s
toru	2060	A2	s
und	2061		s
kasutama	2064	A1	v
eelnevalt	2065	B2	adv
püksid	2067	A2	s
viimaks	2070	B2	adv
puudu	2071	B1	adv
isiklik	2073	A2	adj
aina	2074	B2	adv
vali	2077	B2	adj
seejärel	2078	B2	adv
partner	2080	A2	s
justkui	2081	B1	konj,adv
eesmärk	2082	A2	s
treener	2084	A2	s
teises	2086		
hirmus	2090	B1	adj
kohtunik	2094	B1	s
jala	2095	A2	adv
ülemus	2097	B1	s
arvuti	2103	A1	s
tükk	2111	A1	s
kana	2113	A1	s
tunnistama	2115	B1	v
valitsus	2116	B1	s
osav	2120	B2	adj
tulevik	2121	A2	s
lõpus	2122		s
pisike	2123	B1	adj,s
päralt	2124	B2	postp
igavene	2125	B2	adj
märk	2126	A2	s
viha	2128	A2	s,adj
prints	2138	B2	s
iialgi	2145	B1	adv
maitse	2151	B1	s
päevad	2152		s
kahekesi	2153	B1	adv
sobi	2156		s
põlema	2159		v
kohtumine	2161	A2	s
nojah	2163		adv,interj
turvaline	2164	B1	adj
niigi	2166	B2	adv
sõnul	2168		vrm
lähedale	2170	A2	adv,postp
rooma	2171		prop
kiri	2181	A1	s
sinine	2184	A1	adj,s
kuskile	2185	B1	adv
side	2188	B1	s
sündinud	2190		adj
pidama	2191	A2	v
teade	2193	A2	s
absoluutselt	2196	B2	adv
küljest	2199	B1	adv,postp
seljas	2204		adv,postp
teistsugune	2208	B1	adj
kaduma	2209	A2	v
tasu	2212	A2	s
algus	2213	A1	s
teiseks	2218	B1	adv
päästma	2219	A2	v
vene	2223	A1	adjg
kõrini	2224		adv
äge	2225	B2	adj
muudkui	2226	B2	adv
kott	2228	A1	s
senaator	2229		s
masin	2230	A1	s
kohutavalt	2238	B2	adv
loogiline	2240	B1	adj
sara	2247		s
viisil	2249		vrm
keelatud	2251		adj
õppinud	2253		adj
segaduses	2259		vrm
hoolimata	2260	B1	postp,prep
klubi	2262	A2	s
roni	2265		
kenasti	2268	B1	adv
kõrge	2269	A2	adj,s
sada	2273	A1	num,s
võitlema	2275	B1	v
klient	2276	A1	s
ajama	2277	B1	v
uurima	2280	B1	v
seas	2281	A2	postp
sihtmärk	2282		s
närvis	2283		adv
mõrvar	2285	B1	s
daam	2286	A2	s
alasti	2288	B1	adj,adv
mälu	2290	A2	s
e	2291		s
ravi	2292	A2	s
ääres	2294	B1	postp
van	2296		s
ee	2298		interj
saksa	2300	A1	adjg
kristus	2301		prop
c	2303		s
valgus	2304	B1	s
vaenlane	2305	A2	s
niipea	2307	B2	adv
cia	2309		
ärme	2310		vrm
tüli	2311	B1	s
viisi	2321	B2	postp,adv
hullumeelne	2326	B2	adj,s
veelgi	2328		adv
palli	2329		prop
nõrk	2330	A1	adj,s
samm	2331	A2	s
õhtusöök	2332	B1	s
teema	2334	A2	s
mujale	2337	B1	adv
morgan	2348		s,adj
nõid	2349	B2	s
nõnda	2353	B2	adv
tsau	2354		interj
prl	2355		
kanna	2356		s
vanamees	2358		s
töötama	2359	A1	v
sünnipäev	2360	A1	s
seksikas	2363	B2	adj
söönud	2365		adj
hoone	2366	A2	s
saadik	2372	B1	s
liialt	2374	B2	adv
tundu	2376		prop
isik	2381	B1	s
kass	2383	A1	s
juhtuma	2386	A2	v
vaikne	2387	A2	adj
koheselt	2391	B2	adv
kood	2397	B1	s
vot	2398		interj
ilmselgelt	2400	B2	adv
york	2401		prop
vinge	2406	B2	adj
kiirelt	2414	A2	adv
järsku	2417	B1	adv
otsekohe	2420	C1	adv
kandma	2421	A2	v
näo	2423		
ohver	2428	B1	s
räpane	2429	B2	adj
takso	2430	A1	s
pahane	2431	B1	adj
kaitsma	2433	A2	v
hirm	2435	B1	s
tahes	2438		adv
persevest	2442		s
lihtsam	2445		adj
õieti	2447	B1	adv
harjunud	2451		adj
meister	2455	A2	s
värvi	2456		adj
paras	2457	B1	adj
vast	2461	B2	adv
selgelt	2462	A2	adv
poisu	2464		s
mujal	2468	B1	adv
fantastiline	2469	B2	adj
keel	2476	A1	s
tuntud	2482	B1	adj
kohus	2485	B1	s
vapper	2486	B2	adj
erinev	2488	A1	adj
kaugemale	2493		adv
pealik	2494	B2	s
jackson	2495		prop
siga	2499	A2	s,adj
stopp	2506	A1	interj
kallale	2508	B1	adv,postp
ettevaatlikult	2510	B1	adv
hind	2524	A1	s
keskel	2525	A1	adv,postp
beebi	2527	B1	s
linnapea	2529	B1	s
ai	2532		s
suurepäraselt	2533	B1	adv
kel	2535		vrm
vahepeal	2536	B1	adv,postp
aamen	2537		interj
noormees	2540	B1	s
